Name,PhoneNumber,Address,CostRange,Cuisine
'Forequarter',(608) 609-4717,"'708 1/4 E Johnson St, Madison'",2,''
'Mediterranean Cafe',(608) 251-8510,"'625 State St, Madison'",1,"'Mediterranean,Vegetarian'"
'Cafe Porta Alba',(608) 441-0202,"'558 N. Midvale Blvd (Hilldale Mall), Madison'",2,"'Italian,Pizza'"
'Atlantis Taverna',(608) 837-5700,"'239 E Main St, Sun Prairie'",1,"'Greek,Mediterranean'"
'David's Jamaican Cuisine',(608) 222-8109,"'5734 Monona Dr, Monona'",2,"'Caribbean,Jamaican'"
'Bloom Bake Shop',(608) 831-5797,"'1834 Parmenter Street, Middleton'",1,'Desserts'
'Tienda Los Gemelos',(608) 441-0061,"'6713 Odana Rd Ste 8, Madison'",1,"'Latin American,Mexican'"
'Kit Cho Sushi & Hibachi',(920) 397-7800,"'120 N Main St, Fort Atkinson'",2,'Japanese'
'Rodeside Grill',(608) 846-1874,"'6314 Rostad Circle, Windsor'",2,"'American,Mexican'"
'Ale Asylum',(608) 663-3926,"'2002 Pankratz Street, Madison'",4,'Pub Food'
'C's Restaurant & Bakery',(608) 836-4700,"'2550 Allen Blvd, Middleton'",1,"'Breakfast,Diner'"
'Fosdal Home Bakery',(608) 873-3073,"'243 E Main St, Stoughton'",1,'Sandwich'
'QQ Express',(608) 256-2288,"'1401 University Ave, Madison'",1,'Chinese'
'El Mariachi Mexican Restaurant LLC',(920) 648-2985,"'102 E Madison St Ste B, Lake Mills'",1,'Mexican'
'Delicatessie's',(608) 222-2155,"'4914 Pflaum Rd Ste 1, Madison'",1,'Sandwich'
'Sizzling Hut',(608) 846-2259,"'404 N Main St, De Forest'",1,'Chinese'
'Sa Bai Thong',(608) 238-3100,"'2840 University Ave, Madison'",2,"'Asian,Thai'"
'Takara Japanese Restaurant',(608) 270-1188,"'696 S Whitney Way, Madison'",3,"'Japanese,Sushi'"
'Parthenon Gyros Restaurant',(608) 251-6311,"'316 State St, Madison'",1,"'Greek,Mediterranean'"
'Biaggi's Ristorante Italiano',(608) 664-9288,"'1611 Aspen Commons, Middleton'",2,'Italian'
'Bunky's Cafe',(608) 204-7004,"'2425 Atwood Ave, Madison'",3,"'Italian,Mediterranean'"
'Dumpling Haus',(608) 661-4287,"'702 N Midvale Blvd, Madison'",1,"'Asian,Chinese'"
'Blue Moon Bar & Grill',(608) 233-0441,"'2535 University Ave, Madison'",1,"'Burger,Sandwich'"
'Sjolinds Chocolate House',(608) 437-0233,"'219 E Main St, Mt Horeb'",2,"'Breakfast,Coffee and Tea,Desserts'"
'Sushi Muramoto',(608) 441-1090,"'546 N Midvale Blvd, Madison'",3,"'Japanese,Sushi'"
'Otto's Restaurant & Bar',(608) 274-4044,"'6405 Mineral Pt Rd, Madison'",3,"'Mediterranean,Seafood,Steak'"
'Sunroom Cafe',(608) 255-1555,"'638 State St, Madison'",1,"'Breakfast,Sandwich,Vegetarian'"
'Osteria Papavero',(608) 255-8376,"'128 E Wilson St, Madison'",3,'Italian'
'Vientiane Palace',(608) 255-2848,"'151 W Gorham St, Madison'",1,'Thai'
'Louisianne's Etc',(608) 831-1929,"'7464 Hubbard Ave, Middleton'",4,'Cajun'
'Curry in The Box',(608) 273-9100,'3050 Cahill Main Ste 4',1,"'Indian,Thai'"
'Sa-Bai Thong',(608) 828-9565,"'6802 Odana Rd, Madison'",2,"'Asian,Thai,Vegetarian'"
'Mickies Dairy Bar',(608) 256-9476,"'1511 Monroe St, Madison'",1,'Breakfast'
'Great Dane',(608) 661-9400,'357 Price Pl',2,"'American,Breakfast,Bar Food'"
'Cooper's Tavern',(608) 256-1600,"'20 W. Mifflin, Madison'",2,"'Breakfast,Burger,Bar Food'"
'Angelo's',(608) 222-1464,'5801 Monona Drive',2,"'American,Italian,Pizza'"
'Kabul Afghanistan Restaurant',(608) 256-6322,"'540 State St, Madison'",2,"'Middle Eastern,Afghan'"
'Smoky Jon's #1 BBQ',(608) 249-7427,"'2310 Packers Ave, Madison'",2,'BBQ'
'Quivey's Grove',(608) 273-4900,"'6261 Nesbitt Rd, Fitchburg'",3,"'American,European,Steak'"
'Salvatore's Tomato Pies',(608) 318-1761,"'503 W. Main St., Sun Prairie'",1,"'European,Italian,Pizza'"
'Samba Brazilian Grill',(608) 257-1111,"'240 W Gilman St, Madison'",4,"'Brazilian,Steak'"
'Hubbard Avenue Diner',(608) 831-6800,"'7445 Hubbard Ave, Middleton'",1,"'Breakfast,Desserts,Diner'"
'Bonfyre American Grille',(608) 273-3973,'2601 West Beltline Hwy',3,'American'
'Eno Vino Wine Bar & Bistro',(608) 664-9565,'601 Junction Road',3,'Tapas'
'Ian's Pizza on State',(608) 257-9248,'100 State Street',1,'Pizza'
'Pizza Brutta',(608) 257-2120,'1805 Monroe Street',2,'Pizza'
'Ha Long Bay',(608) 255-2868,"'1353 Williamson St., Madison'",2,"'Asian,Thai,Vietnamese'"
'The Old Fashioned',(608) 310-4545,'23 North Pinckney Street',2,"'American,Breakfast,Burger'"
'The Great Dane',(608) 284-0000,'123 East Doty Street',2,"'American,Burger,Bar Food'"
'Weary Traveler Freehouse',(608) 442-6207,"'1201 Williamson St, Madison'",2,'Bar Food'
'Thai Noodles',(608) 270-9527,"'5957 Mckee Rd, Fitchburg'",2,"'Thai,Vietnamese'"
'Ian's Pizza by the Slice',(608) 257-9248,'319 North Frances Street',1,"'Desserts,Pizza'"
'Lazy Jane's Cafe & Bakery',(608) 257-5263,"'1358 Williamson St, Madison'",1,'Breakfast'
'The Green Owl Cafe',(608) 285-5290,'1970 Atwood Avenue',2,'Vegetarian'
