Name,PhoneNumber,Address,CostRange,Cuisine
Echo Tap & Grill,(608) 256-6928,554 W Main St,1,"Sports Bars,Pizza,American (Traditional)"
Fromagination,(608) 255-2430,12 S Carroll St,1,"Cheese Tasting Classes,Cheese Shops,Sandwiches"
Novanta,(608) 831-7740,8452 Old Sauk Rd,1,"Pizza,Italian,Mediterranean"
Salvatore’s Tomato Pies,(608) 238-6040,912 E Johnson St,1,"Pizza,American (New),Mexican"
Good Food,(608) 217-5227,33 E Main St,1,"Street Vendors,Sandwiches,Salad"
Pig in a Fur Coat,(608) 316-3300,940 Williamson St,1,"American (New),Mediterranean,Comfort Food"
Graft,(608) 229-8800,18 N Carroll St,1,"American (New),Wine Bars,Cocktail Bars"
Paul’s Pel’meni,(608) 467-3234,414 W Gilman St,1,"Russian,Asian Fusion"
Heritage Tavern,(608) 283-9500,131 E Mifflin St,1,"American (New),Gastropubs,Breakfast & Brunch"
Double 10 Mini Hot Pot,(608) 467-3330,1272 S Park St,1,"Hot Pot,Chinese"
Pizza Brutta,(608) 257-2120,1805 Monroe St,1,Pizza
La Kitchenette,(608) 283-4266,805 Williamson St,1,French
Lao Laan-Xang Restaurant,(608) 280-0104,1146 Williamson St,1,Laotian
Swad,(608) 819-6950,6007 Monona Dr,1,Indian
Mediterranean Cafe,(608) 251-8510,625 State St,1,"Greek,Mediterranean"
Bradbury’s,(608) 204-0474,127 N Hamilton St,1,"Coffee & Tea,Creperies"
Macha Tea Company,(608) 442-0500,823 E Johnson St,1,"Tea Rooms,Japanese"
RED,(608) 294-1234,316 W Washington Ave,1,"Sushi Bars,Desserts,Cocktail Bars"
Dhaba Indian Bistro,(608) 203-8822,8333 Greenway Blvd,1,Indian
Ogden’s North Street Diner,(608) 467-3930,560 North St,1,"Diners,Breakfast & Brunch"
Babcock Hall Dairy Store,(608) 262-3045,1605 Linden Dr,1,"Ice Cream & Frozen Yogurt,Cheese Shops,Sandwiches"
Marigold Kitchen,(608) 661-5559,118 S Pinckney St,1,Breakfast & Brunch
MOD Pizza,(608) 416-5224,2960 Cahill Main,1,"Fast Food,Pizza"
Fresh Cool Drinks,,704-712 State St,1,"Thai,Food Stands,Juice Bars & Smoothies"
Taqueria Guadalajara,(608) 250-1824,1033 S Park St,1,Mexican
Grampa’s Pizzeria,(608) 283-9580,1374 Willamson St,1,"Pizza,Bars"
Daisy Cafe & Cupcakery,(608) 241-2200,2827 Atwood Ave,1,"Breakfast & Brunch,Bakeries,American (New)"
Casetta Kitchen and Counter,(608) 467-8108,222 W Washington Ave,1,"Italian,Wine Bars,Sandwiches"
The Old Fashioned,(608) 310-4545,23 N Pinckney St,1,"American (Traditional),Breakfast & Brunch,Beer Bar"
Haveli Restaurant,(608) 274-3333,5957 McKee Rd,1,Indian
North and South Seafood & Smokehouse,(608) 829-0093,6604 Mineral Point Rd,1,"Seafood,Smokehouse,Coffee & Tea"
Lalo’s Mexican Restaurant,(608) 405-5851,5510 University Ave,1,
Thai Basil,(608) 273-8890,6714 Raymond Rd,1,Thai
Poke It Up,(608) 709-5511,540 University Ave,2,
Angelo’s,(608) 838-2233,4706 Farwell St,1,"Italian,Pizza"
Fraboni’s Italian Specialties & Delicatessen,(608) 222-6632,108 Owen Rd,1,"Italian,Delis,Specialty Food"
Barriques - West Wash,(608) 268-6264,127 W Washington Ave,1,"Coffee & Tea,Sandwiches,Bars"
Taigu,(608) 831-3458,7610 Elmwood Ave,1,"Chinese,Noodles,Soup"
