Address,CostRange,Cuisine,Name,PhoneNumber,ZipCode
"708 1/4 E Johnson St, Madison",2,,Forequarter,(608) 609-4717,53703
"625 State St, Madison",1,"Mediterranean,Vegetarian",Mediterranean Cafe,(608) 251-8510,53703
"558 N. Midvale Blvd (Hilldale Mall), Madison",2,"Italian,Pizza",Cafe Porta Alba,(608) 441-0202,53705
"239 E Main St, Sun Prairie",1,"Greek,Mediterranean",Atlantis Taverna,(608) 837-5700,53590
"5734 Monona Dr, Monona",2,"Caribbean,Jamaican",David's Jamaican Cuisine,(608) 222-8109,53716
"1834 Parmenter Street, Middleton",1,Desserts,Bloom Bake Shop,(608) 831-5797,53562
"6713 Odana Rd Ste 8, Madison",1,"Latin American,Mexican",Tienda Los Gemelos,(608) 441-0061,53719
"120 N Main St, Fort Atkinson",2,Japanese,Kit Cho Sushi & Hibachi,(920) 397-7800,53538
"6314 Rostad Circle, Windsor",2,"American,Mexican",Rodeside Grill,(608) 846-1874,53598
"2002 Pankratz Street, Madison",4,Pub Food,Ale Asylum,(608) 663-3926,53704
"2550 Allen Blvd, Middleton",1,"Breakfast,Diner",C's Restaurant & Bakery,(608) 836-4700,53562
"243 E Main St, Stoughton",1,Sandwich,Fosdal Home Bakery,(608) 873-3073,53589
"1401 University Ave, Madison",1,Chinese,QQ Express,(608) 256-2288,53715
"102 E Madison St Ste B, Lake Mills",1,Mexican,El Mariachi Mexican Restaurant LLC,(920) 648-2985,53551
"4914 Pflaum Rd Ste 1, Madison",1,Sandwich,Delicatessie's,(608) 222-2155,53718
"404 N Main St, De Forest",1,Chinese,Sizzling Hut,(608) 846-2259,53532
"2840 University Ave, Madison",2,"Asian,Thai",Sa Bai Thong,(608) 238-3100,53705
"696 S Whitney Way, Madison",3,"Japanese,Sushi",Takara Japanese Restaurant,(608) 270-1188,53711
"316 State St, Madison",1,"Greek,Mediterranean",Parthenon Gyros Restaurant,(608) 251-6311,53703
"1611 Aspen Commons, Middleton",2,Italian,Biaggi's Ristorante Italiano,(608) 664-9288,53717
