ltable_ID,rtable_ID
184,2
165,13
1546,13
228,22
64,32
41,37
272,40
202,41
274,42
146,43
2351,43
113,46
68,49
66,53
26,56
118,69
148,71
117,72
177,73
220,76
449,76
622,76
778,76
62,78
418,78
2883,78
2932,78
3016,78
3525,78
5,85
179,98
220,101
449,101
622,101
778,101
356,102
428,103
198,106
12,108
253,114
156,131
147,135
100,144
577,145
105,146
500,150
246,155
355,159
18,162
461,163
199,169
372,170
20,173
427,174
417,175
250,179
532,179
605,179
651,179
370,181
74,183
3559,183
396,195
2923,195
441,201
38,202
67,205
271,206
134,212
624,213
3780,213
535,217
930,222
265,225
0,232
513,233
2700,236
478,237
446,244
1357,244
2709,244
165,246
1546,246
50,254
270,260
362,267
251,271
332,285
122,288
258,288
436,288
545,294
307,298
318,305
575,306
443,311
394,315
426,315
395,316
82,323
479,327
329,337
208,342
168,347
242,353
542,357
144,361
783,375
458,382
470,382
595,382
688,382
741,382
225,387
363,389
650,389
658,390
691,390
757,390
761,390
458,393
470,393
595,393
688,393
741,393
89,399
389,400
437,404
746,405
159,412
2002,412
2487,412
2525,412
2616,412
1763,413
1816,413
95,422
445,426
408,427
335,430
574,430
3426,430
354,438
293,440
469,443
627,443
730,443
335,445
574,445
3426,445
561,447
676,450
531,461
586,461
69,462
685,473
717,473
790,473
833,473
3563,473
182,488
591,489
482,493
815,506
383,508
890,516
587,525
377,528
268,534
3379,534
102,536
684,538
521,541
178,542
465,543
838,543
273,544
609,547
634,547
808,547
472,548
158,549
335,551
574,551
3426,551
745,557
455,563
490,565
561,569
150,570
508,570
533,570
706,570
490,571
331,576
588,578
812,590
287,591
390,591
405,591
423,591
438,591
615,604
778,609
833,609
70,627
335,627
574,627
3426,627
467,631
787,649
195,658
469,659
627,659
730,659
9,668
163,678
191,679
574,681
861,695
881,695
882,695
714,702
540,703
129,705
512,706
565,711
434,712
922,727
692,736
132,767
77,789
458,790
470,790
595,790
688,790
741,790
129,796
287,825
390,825
405,825
423,825
438,825
335,838
574,838
3426,838
539,852
335,863
574,863
3426,863
549,934
728,938
475,939
122,940
258,940
436,940
511,942
242,955
27,963
248,989
336,995
287,996
390,996
405,996
423,996
438,996
210,997
52,998
129,1002
233,1007
563,1012
150,1033
508,1033
533,1033
706,1033
348,1037
292,1038
373,1039
747,1067
143,1069
665,1075
911,1080
439,1082
584,1086
374,1095
54,1097
30,1100
335,1123
574,1123
3426,1123
150,1150
508,1150
533,1150
706,1150
109,1153
827,1168
453,1190
490,1195
458,1204
470,1204
595,1204
688,1204
741,1204
666,1212
84,1230
42,1232
559,1260
636,1263
645,1263
668,1263
693,1263
724,1263
774,1263
785,1263
813,1265
129,1269
636,1273
645,1273
668,1273
693,1273
724,1273
774,1273
785,1273
636,1274
645,1274
668,1274
693,1274
724,1274
774,1274
785,1274
872,1306
543,1336
469,1338
627,1338
730,1338
685,1341
717,1341
790,1341
833,1341
3563,1341
636,1366
645,1366
668,1366
693,1366
724,1366
774,1366
785,1366
636,1367
645,1367
668,1367
693,1367
724,1367
774,1367
785,1367
867,1385
636,1389
645,1389
668,1389
693,1389
724,1389
774,1389
785,1389
636,1390
645,1390
668,1390
693,1390
724,1390
774,1390
785,1390
685,1414
717,1414
790,1414
833,1414
2380,1432
3598,1432
1073,1440
1293,1440
949,1441
989,1444
1073,1446
1293,1446
993,1447
1592,1447
2397,1447
2864,1447
1134,1450
948,1453
1050,1453
1202,1453
1307,1456
1369,1458
1246,1460
1086,1464
1371,1467
2328,1471
1742,1476
1847,1476
1065,1477
1165,1484
1291,1485
1179,1489
1123,1495
1840,1500
1058,1503
1416,1506
1086,1508
1161,1511
1796,1515
1171,1524
1184,1524
2228,1524
1307,1525
1077,1535
1310,1535
1171,1536
1184,1536
2228,1536
1214,1544
1256,1544
1774,1544
1835,1544
1856,1544
1148,1552
1219,1552
1468,1556
1679,1558
1442,1582
1477,1585
1360,1589
1763,1590
1816,1590
1422,1597
1343,1599
1171,1601
1184,1601
2228,1601
1621,1602
1763,1603
1816,1603
3572,1604
1200,1609
1448,1612
1272,1620
1274,1620
1580,1630
3522,1630
1126,1631
1233,1631
1426,1631
948,1632
1050,1632
1202,1632
1773,1635
1362,1636
1492,1637
1840,1640
1113,1643
1624,1647
2351,1647
1656,1658
991,1671
1086,1673
1624,1698
2351,1698
1763,1699
1816,1699
1564,1703
1509,1709
1593,1711
1724,1722
1285,1753
1678,1753
1803,1753
1138,1759
1555,1762
963,1764
3572,1766
1715,1770
1422,1771
1399,1772
1236,1779
1039,1781
1097,1782
1660,1787
965,1791
1585,1797
1659,1797
1603,1806
1559,1807
1741,1811
62,1817
418,1817
2883,1817
2932,1817
3016,1817
3525,1817
1307,1820
1763,1821
1816,1821
1129,1827
1328,1828
1213,1837
1631,1846
1836,1846
1415,1853
1458,1855
1932,1883
1452,1900
1758,1909
1469,1917
1482,1918
1619,1922
1127,1925
1061,1928
1322,1928
1782,1933
1387,1954
1842,1984
1759,1986
1839,1990
2394,2010
2540,2010
1330,2019
1374,2020
1640,2021
1046,2026
1131,2047
1877,2049
1415,2064
1683,2074
1763,2077
1816,2077
1744,2078
1367,2107
1700,2111
82,2118
1084,2125
1493,2135
1158,2149
2408,2153
165,2166
1546,2166
3025,2174
1463,2181
242,2200
1493,2205
373,2214
1516,2214
1705,2214
1192,2244
1512,2249
3305,2253
1574,2256
1032,2259
1843,2260
1557,2265
1126,2275
1233,2275
1426,2275
1600,2277
1827,2280
1453,2286
3467,2291
1271,2292
1766,2297
1839,2298
1540,2304
1889,2308
1818,2313
1387,2323
1222,2326
250,2336
532,2336
605,2336
651,2336
248,2348
146,2354
1826,2355
1493,2362
1152,2379
3063,2379
3498,2379
996,2389
1075,2399
1199,2399
1970,2416
2393,2416
1399,2418
1307,2419
1109,2431
1061,2434
1322,2434
165,2435
1546,2435
373,2443
1705,2443
3067,2445
1167,2455
149,2458
3584,2461
1126,2465
1233,2465
1426,2465
1790,2470
1791,2470
1493,2480
1970,2480
2393,2480
1571,2497
1179,2500
373,2504
1516,2504
1460,2509
1422,2526
1493,2531
1493,2546
1970,2546
2393,2546
1368,2555
1772,2562
396,2572
2923,2572
2477,2576
2976,2576
446,2583
1357,2583
2709,2583
2318,2587
1686,2590
1680,2600
1551,2616
1812,2621
1845,2621
1688,2631
1353,2642
969,2664
1317,2665
9,2674
2394,2677
2540,2677
592,2683
1332,2698
1520,2705
1763,2707
1816,2707
1493,2712
3165,2717
1566,2731
459,2736
1385,2772
1387,2774
165,2775
706,2775
1546,2775
1767,2786
165,2788
1546,2788
1469,2794
165,2803
1546,2803
1493,2814
1970,2814
2393,2814
2393,2836
1524,2837
1144,2854
957,2864
2380,2885
3598,2885
1706,2886
1587,2888
345,2905
2082,2925
2608,2925
2318,2929
2737,2931
2070,2932
1171,2936
1184,2936
2228,2936
2839,2940
2308,2950
2780,2950
2502,2951
2540,2960
2464,2961
2330,2966
2773,2972
2394,2975
2540,2975
2396,2987
2189,2995
2279,2997
2504,3001
2232,3007
2062,3011
2604,3013
2307,3016
2691,3027
2080,3037
2542,3040
3067,3040
1928,3041
2562,3042
2526,3052
3572,3053
2582,3054
2015,3075
2246,3075
2428,3075
2207,3079
2597,3082
2829,3082
2181,3101
2146,3103
2430,3103
2721,3111
2171,3121
2050,3123
3572,3138
1972,3139
2427,3154
3218,3156
3658,3156
2294,3164
2236,3181
2354,3187
2612,3211
2532,3214
3219,3217
2384,3219
3147,3219
1976,3222
2145,3231
2569,3240
1988,3244
1936,3258
2371,3258
2048,3261
2590,3274
2426,3278
2738,3293
2433,3306
2609,3317
2030,3323
363,3337
650,3337
2448,3350
3089,3352
2174,3354
2095,3356
1293,3366
2745,3366
2003,3373
1913,3380
2050,3385
512,3388
2830,3393
1970,3407
2393,3407
2633,3433
2747,3443
2352,3446
2137,3447
2415,3456
658,3469
691,3469
757,3469
761,3469
3467,3472
2259,3481
250,3483
532,3483
605,3483
651,3483
2085,3492
2192,3492
531,3500
586,3500
2271,3518
3467,3542
3089,3557
2303,3559
2624,3560
1902,3576
2109,3579
2244,3582
2466,3595
2077,3600
2078,3601
2317,3605
2250,3613
465,3620
838,3620
2469,3626
2611,3626
2845,3649
2132,3654
679,3657
2823,3668
2453,3687
2524,3687
2373,3693
861,3699
881,3699
882,3699
2532,3710
2378,3719
2469,3720
2611,3720
3219,3734
1952,3738
357,3760
614,3760
740,3760
2776,3760
3785,3760
3467,3772
2145,3822
2507,3822
3218,3822
2059,3870
3437,3930
2472,3958
2159,4039
2373,4078
242,4092
335,4115
574,4115
3426,4115
1512,4176
2842,4197
2115,4199
2289,4207
1973,4208
2433,4211
2457,4212
1918,4222
3089,4234
1951,4242
2089,4247
2258,4248
1983,4251
459,4282
2341,4284
2750,4295
159,4297
2002,4297
2487,4297
2525,4297
2616,4297
1381,4316
2802,4316
1908,4320
2167,4329
2220,4334
2414,4334
2752,4341
1700,4343
1989,4353
1994,4353
2084,4366
1493,4370
2159,4376
1970,4381
2393,4381
679,4384
1185,4399
1579,4399
2373,4402
615,4403
2858,4410
993,4415
1592,4415
2397,4415
2864,4415
2922,4416
3305,4420
2901,4422
3184,4422
3606,4422
3381,4425
1152,4435
3063,4435
3498,4435
3389,4436
2905,4441
3002,4441
3013,4441
3024,4441
3112,4441
3242,4441
3766,4441
3107,4442
3093,4444
396,4454
2923,4454
3466,4460
3448,4461
3390,4464
3207,4469
3228,4471
3522,4475
3174,4477
2976,4491
3188,4492
3074,4495
3533,4496
3304,4497
3495,4503
3344,4505
3635,4508
2935,4510
2930,4529
3551,4535
3015,4541
3259,4547
3435,4553
2947,4558
3723,4561
3426,4562
3759,4563
3037,4580
3025,4581
2884,4589
445,4591
3524,4593
3737,4599
3643,4614
3797,4619
3181,4624
3233,4624
3761,4631
3481,4634
3494,4640
250,4647
532,4647
605,4647
651,4647
2971,4648
3180,4649
3142,4653
3416,4662
3213,4667
3271,4668
3369,4670
2920,4680
465,4681
838,4681
3120,4683
3467,4689
3537,4691
3230,4692
3658,4721
2380,4724
3598,4724
3681,4731
3089,4735
3778,4752
2891,4772
3741,4773
3781,4778
3737,4817
3334,4818
3547,4824
3658,4836
3104,4839
3102,4852
331,4857
3108,4864
3641,4864
3668,4869
3745,4869
335,4887
574,4887
3426,4887
3712,4890
3789,4914
3032,4917
3071,4922
3636,4928
2994,4929
3668,4930
3745,4930
165,4946
1546,4946
3784,4950
331,4959
3668,4965
3745,4965
3230,4967
3129,4969
3699,4978
3303,5013
3402,5053
861,5076
881,5076
882,5076
3532,5079
3742,5091
3564,5094
3108,5106
3641,5106
3689,5116
2890,5121
658,5133
691,5133
757,5133
761,5133
3141,5190
2905,5199
508,5210
3197,5216
3679,5225
199,5232
2901,5235
3184,5235
3606,5235
3028,5237
3120,5253
2918,5254
3330,5265
3589,5287
3693,5289
3309,5322
2978,5339
3215,5340
2986,5349
3404,5369
3534,5378
3279,5408
3427,5438
3504,5443
3372,5479
3439,5485
1331,5486
636,5487
645,5487
668,5487
693,5487
724,5487
774,5487
785,5487
3723,5489
3051,5530
3440,5552
588,5579
636,5581
645,5581
668,5581
693,5581
724,5581
774,5581
785,5581
