ID,Name,PhoneNumber,Address,CostRange,Cuisine
0,'Echo Tap & Grill',(608) 256-6928,'554 W Main St',1,"'Sports Bars,Pizza,American (Traditional)'"
1,'Fromagination',(608) 255-2430,'12 S Carroll St',1,"'Cheese Tasting Classes,Cheese Shops,Sandwiches'"
2,'Novanta',(608) 831-7740,'8452 Old Sauk Rd',1,"'Pizza,Italian,Mediterranean'"
3,'Salvatore’s Tomato Pies',(608) 238-6040,'912 E Johnson St',1,"'Pizza,American (New),Mexican'"
4,'Good Food',(608) 217-5227,'33 E Main St',1,"'Street Vendors,Sandwiches,Salad'"
5,'Pig in a Fur Coat',(608) 316-3300,'940 Williamson St',1,"'American (New),Mediterranean,Comfort Food'"
6,'Graft',(608) 229-8800,'18 N Carroll St',1,"'American (New),Wine Bars,Cocktail Bars'"
7,'Paul’s Pel’meni',(608) 467-3234,'414 W Gilman St',1,"'Russian,Asian Fusion'"
8,'Heritage Tavern',(608) 283-9500,'131 E Mifflin St',1,"'American (New),Gastropubs,Breakfast & Brunch'"
9,'Double 10 Mini Hot Pot',(608) 467-3330,'1272 S Park St',1,"'Hot Pot,Chinese'"
10,'Pizza Brutta',(608) 257-2120,'1805 Monroe St',1,'Pizza'
11,'La Kitchenette',(608) 283-4266,'805 Williamson St',1,'French'
12,'Lao Laan-Xang Restaurant',(608) 280-0104,'1146 Williamson St',1,'Laotian'
13,'Swad',(608) 819-6950,'6007 Monona Dr',1,'Indian'
14,'Mediterranean Cafe',(608) 251-8510,'625 State St',1,"'Greek,Mediterranean'"
15,'Bradbury’s',(608) 204-0474,'127 N Hamilton St',1,"'Coffee & Tea,Creperies'"
16,'Macha Tea Company',(608) 442-0500,'823 E Johnson St',1,"'Tea Rooms,Japanese'"
17,'RED',(608) 294-1234,'316 W Washington Ave',1,"'Sushi Bars,Desserts,Cocktail Bars'"
18,'Dhaba Indian Bistro',(608) 203-8822,'8333 Greenway Blvd',1,'Indian'
19,'Ogden’s North Street Diner',(608) 467-3930,'560 North St',1,"'Diners,Breakfast & Brunch'"
20,'Babcock Hall Dairy Store',(608) 262-3045,'1605 Linden Dr',1,"'Ice Cream & Frozen Yogurt,Cheese Shops,Sandwiches'"
